,word,attr,trans,marktimes,lasttime,have_learn
0,abandon,vt.,抛弃；放弃,0,0,0
1,abandoned,adj.,被抛弃的，废置的,0,0,0
2,abandonment,n.,抛弃；放弃,0,0,0
3,abbreviate,vt.,缩短；缩写,0,0,0
4,abbreviation,n.,缩写；缩写词,0,0,0
5,abide,vi.,遵守,0,0,0
6,abiding,adj.,持久的,0,0,0
7,ability,n.,能力，才干,0,0,0
8,inability,n.,无能，无力,0,0,0
9,capability,n.,能力，性能，容量,0,0,0
10,viability,n.,生存能力；可行性,0,0,0
11,variability,n.,可变性,0,0,0
12,ablaze,adj.,着火的，燃烧的；闪耀的,0,0,0
13,blazing,adj.,炽烧的，闪耀的,0,0,0
14,abnormal,adj.,反常的，异常的；变态的,0,0,0
15,normal,adj.,正常的，正规的，标准的,0,0,0
16,abolish,vt.,废除，取消,0,0,0
17,abolition,n.,废除，取消,0,0,0
18,abolitionist,n.,废奴主义者,0,0,0
19,abort,n.,中止计划（任务）,0,0,0
20,abound,vi.,充满；富于,0,0,0
21,abrasion,n.,磨（擦）破；表面磨损,0,0,0
22,abrasive,adj.,研磨的,0,0,0
23,abrupt,adj.,突然的，意外的,0,0,0
24,absenteeism,n.,旷课；旷工,0,0,0
25,absentee,n.,缺席者,0,0,0
26,absent,adj.,缺少的；不在的，缺席的,0,0,0
27,absence,n.,缺少；不在，缺席,0,0,0
28,absolute,adj.,完全的；绝对的,0,0,0
29,absolutely,adv.,完全地；绝对地,0,0,0
30,absorb,vt.,吸收（液体、知识）,0,0,0
31,absorption,n.,吸收,0,0,0
32,abstract,adj.,抽象的,0,0,0
33,absurd,adj.,荒谬的，可笑的,0,0,0
34,abundant,adj.,丰富的，充裕的；大量的,0,0,0
35,abundantly,adv.,丰富地,0,0,0
36,abundance,n.,丰富，充裕,0,0,0
37,abuse,vt.,滥用；虐待,0,0,0
38,abut,vi.,邻接，毗邻,0,0,0
39,academic,adj.,学术的；学院的；理论的,0,0,0
40,academician,n.,学会会员；院士；学者,0,0,0
41,accelerate,v.,加快，加速,0,0,0
42,accelerated,adj.,加速的，迅速的,0,0,0
43,accelerating,adj.,加速的,0,0,0
44,acceleration,n.,加速度,0,0,0
45,access,n.,接触，接近（的机会）,0,0,0
46,accessible,adj.,可接近的，可接触的；可得到的,0,0,0
47,accessibility,n.,易接近；可达到,0,0,0
48,accessory,n.,附件，零件,-1,2020-08-14,0
49,accidental,adj.,意外的，偶然的,0,0,0
50,accidentally,adv.,意外地，偶然地,0,0,0
51,accident,n.,意外事件，事故,0,0,0
52,acclaim,n.,赞誉，赞许,0,0,0
53,acclaimed,adj.,受人欢迎的,0,0,0
54,accommodate,vt.,为提供食宿；与相符，与相适应,0,0,0
55,accommodating,adj.,乐于助人的,0,0,0
56,accompany,vt.,陪伴，伴随；伴奏,0,0,0
57,accompanying,adj.,陪伴的，伴随的,0,0,0
58,accompaniment,n.,伴奏,0,0,0
59,accomplish,vt.,完成，达到，实现,0,0,0
60,accomplished,adj.,精通的，熟练的,0,0,0
61,accomplishment,n.,成就,0,0,0
62,accordion,n.,手风琴,0,0,0
63,account,n.,说明，解释,0,0,0
64,accounting,n.,会计学,0,0,0
65,accountant,n.,会计员，会计师,0,0,0
66,accredit,vt.,授权,0,0,0
67,accumulate,vi.,堆积，积聚；积累,0,0,0
68,accumulation,n.,积聚,0,0,0
69,accurate,adj.,准确的，正确的,0,0,0
70,accuracy,n.,准确性，正确性,0,0,0
71,accuse,vt.,指责，归咎,0,0,0
72,accusation,n.,谴责；控告,0,0,0
73,accustomed,adj.,习惯了的,0,0,0
74,achieve,vt.,完成，实现,0,0,0
75,achievement,n.,成就，功绩,0,0,0
76,acid,n.,酸,0,0,0
77,acidic,adj.,酸的，酸性的,0,0,0
78,acidity,n.,酸度，酸性,0,0,0
79,acquaintance,n.,熟人,0,0,0
80,acquaint,v.,熟悉,0,0,0
81,acquisition,n.,获得,0,0,0
82,acquire,vt.,获得，学到,0,0,0
83,acronym,n.,首字母缩写词,0,0,0
84,actual,adj.,实际的，现行的,0,0,0
85,actually,adv.,实际上，事实上,0,0,0
86,actuate,vt.,开动，促使,0,0,0
87,activate,vt.,刺激，使活动,0,0,0
88,actively,adv.,活跃地，积极地,0,0,0
89,acute,adj.,灵敏的，敏锐的,0,0,0
90,acumen,n.,敏锐，聪明,0,0,0
91,adapt,v.,（使）适应，调整；改编,0,0,0
92,adaptable,adj.,能适应的，适应能力强的,0,0,0
93,adaptation,n.,改编，改写；适应环境,0,0,0
94,adaptive,adj.,适合的；适应的,0,0,0
95,additive,n.,添加剂,0,0,0
96,additional,adj.,另外的，附加的，额外的,0,0,0
97,adept,adj.,熟练的，擅长的,0,0,0
98,adequate,adj.,足够的，充实的,0,0,0
99,adhere,vi.,黏附，粘牢,0,0,0
100,adhesive,n.,粘着物,0,0,0
101,adjacent,adj.,毗连的，邻近的,0,0,0
102,adjoin,vt.,毗连，邻近,0,0,0
103,adjoining,adj.,毗邻的,0,0,0
104,adjunct,n.,附件，附属,0,0,0
105,adjust,vt.,调整；使适于,0,0,0
106,adjustment,n.,调整,0,0,0
107,administer,vt.,管理,0,0,0
108,administration,n.,经营，管理,0,0,0
109,administrative,adj.,管理的；行政的,0,0,0
110,administrator,n.,管理者；行政官,0,0,0
111,admire,vt.,钦佩，崇拜；欣赏,0,0,0
112,admiration,n.,钦佩，赞美,0,0,0
113,admit,vt.,准许进入,0,0,0
114,admittedly,adv.,公认地；诚然，无可否认地,0,0,0
115,adobe,n.,泥砖，土坯,0,0,0
116,adopt,vt.,采用，采纳,0,0,0
117,adoption,n.,采用,0,0,0
118,adorn,vt.,装饰,0,0,0
119,adornment,n.,装饰；装饰品,0,0,0
120,unadorned,adj.,未装饰的，朴实的,0,0,0
121,advance,vt.,提高，发展；提升,0,0,0
122,advancement,n.,进展；提升,0,0,0
123,advanced,adj.,高级的；年老的；先进的,0,0,0
124,advent,n.,出现，到来,0,0,0
125,adventure,n.,冒险经历,0,0,0
126,adventurous,adj.,喜欢冒险的，敢做敢为的,0,0,0
127,adventurer,n.,冒险家,0,0,0
128,adverse,adj.,负面的，不利的,0,0,0
129,adversely,adv.,相反地；不利地,0,0,0
130,adversity,n.,不幸，灾难,0,0,0
131,advocate,n.,提倡者，主张者，拥护者,0,0,0
132,aesthetic,adj.,美学的，审美的,0,0,0
133,anesthetic,n.,麻醉剂,0,0,0
134,affect,v.,影响；假装,0,0,0
135,affected,adj.,装模作样的,0,0,0
136,affection,n.,友爱，挚爱，情爱,0,0,0
137,affective,adj.,感情的，表达感情的,0,0,0
138,affectionate,adj.,亲爱的，挚爱的,0,0,0
139,affiliate,vt.,使隶属；接纳为成员,0,0,0
140,affinity,n.,紧密关系,0,0,0
141,affirm,vt.,断言；证实，确认,0,0,0
142,afflict,vt.,折磨；使苦恼,0,0,0
143,affliction,n.,痛苦，苦恼,0,0,0
144,affluent,adj.,富有的，丰富的,0,0,0
145,afford,vt.,付得起；冒险做,0,0,0
146,affordable,adj.,负担得起的，便宜的,0,0,0
147,agenda,n.,日程，议程,0,0,0
148,aggravate,vt.,使恶化，使加重,0,0,0
149,aggravating,adj.,恼人的，讨厌的,0,0,0
150,aggregate,n.,总数,0,0,0
151,aggregation,n.,集合，群体,0,0,0
152,aggressive,adj.,强有力的，坚持己见的,0,0,0
153,aggressiveness,n.,侵略；争斗,0,0,0
154,agile,adj.,敏捷的，活泼轻快的,0,0,0
155,agility,n.,敏捷，活泼,0,0,0
156,fragile,adj.,易碎的，脆的,0,0,0
157,fragility,n.,脆弱,0,0,0
158,agitation,n.,焦虑，不安；煽动,0,0,0
159,agreeable,adj.,使人愉快的，合意的,0,0,0
160,disagreeable,adj.,不令人喜欢的，令人厌恶的,0,0,0
161,ailment,n.,疾病（尤指轻病、小病）,0,0,0
162,aim,n.,目标，计划,0,0,0
163,air,n.,空气，空中,0,0,0
164,airborne,adj.,空气传播的；空运的，空降的,0,0,0
165,ajar,adj.,（门窗等）微开的,0,0,0
166,akin,adj.,同族的；类似的,0,0,0
167,alchemy,n.,炼金术,0,0,0
168,alder,n.,赤杨树,0,0,0
169,alert,adj.,机敏的,0,0,0
170,algae,n.,海藻,0,0,0
171,alien,adj.,相异的；陌生的,0,0,0
172,salient,adj.,显著的，突出的,0,0,0
173,alignment,n.,排列；联合，联盟,0,0,0
174,alike,adj.,相同的，相似的,0,0,0
175,allegation,n.,宣称，主张，断言,0,0,0
176,allegory,n.,寓言,0,0,0
177,alliteration,n.,（诗歌的）头韵,0,0,0
178,allocate,vt.,分配,0,0,0
179,alloy,n.,合金,0,0,0
180,allude,vi.,暗指，影射，间接提到,0,0,0
181,ally,n.,联盟；同盟者,0,0,0
182,rally,n.,集会,0,0,0
183,aloft,adv.,在高处；在空中,0,0,0
184,alone,adj./v.,单独的（地）,0,0,0
185,aloof,adj.,远离的；冷淡的，漠不关心的,0,0,0
186,alter,vt.,改变，修改,0,0,0
187,alteration,n.,变更，改造,0,0,0
188,alternate,adj.,交替的，轮流的,0,0,0
189,alternately,adv.,交替地，隔一个地,0,0,0
190,alternation,n.,交替，轮流,0,0,0
191,alternative,adj.,另一可选的，另外的,0,0,0
192,altitude,n.,高度,0,0,0
193,latitude,n.,纬度,0,0,0
194,platitude,adj.,陈词滥调,0,0,0
195,aluminum,n.,铝,0,0,0
196,amateur,adj.,业余的,0,0,0
197,amaze,vt.,使吃惊，使惊叹,0,0,0
198,amazement,n.,惊愕，惊异,0,0,0
199,amazing,adj.,令人惊异的,0,0,0
200,ambience,n.,周围环境，气氛,0,0,0
201,ambition,n.,雄心，抱负,0,0,0
202,ambitious,adj.,有雄心的，渴望成功的,0,0,0
203,ambivalent,adj.,有矛盾情绪的，举棋不定的,0,0,0
204,ambivalence,n.,矛盾心理,0,0,0
205,amble,vi.,漫步，缓行,0,0,0
206,scramble,vt.,攀爬；搅乱，使混杂,0,0,0
207,amenable,adj.,顺从的；应服从的,0,0,0
208,amendment,n.,改正，修正,0,0,0
209,Amendment,n.,宪法修正案,0,0,0
210,amend,vt.,改正，修正,0,0,0
211,amenity,n.,pl.生活福利设施，文娱康乐场所,0,0,0
212,amid,prep.,在…中,0,0,0
213,pyramid,n.,金字塔；金字塔现象/形状,0,0,0
214,amnesia,n.,健忘症,0,0,0
215,amount,n.,量，总合,0,0,0
216,ample,adj.,富足的，充足的,0,0,0
217,trample,vt.,践踏，踩坏,0,0,0
218,amplify,vt.,放大；扩大；增强,0,0,0
219,amplification,n.,扩大,0,0,0
220,analogy,n.,类比，类推,0,0,0
221,analogous,adj.,类似的,0,0,0
222,analyze,vt.,分析，分解,0,0,0
223,analysis,n.,分析；分析报告,0,0,0
224,psychoanalysis,n.,心理分析,-1,2020-08-13,0
225,anarchist,n.,无政府主义者,0,0,0
226,anatomy,n.,解剖；解剖学,0,0,0
227,ancestor,n.,祖先，祖宗,0,0,0
228,ancestry,n.,家系，血统,0,0,0
229,ancestral,adj.,祖先的，祖传的,0,0,0
230,anecdotal,adj.,轶闻的，多轶闻趣闻的,0,0,0
231,anecdote,n.,短故事，轶事,0,0,0
232,anesthesia,n.,麻醉,0,0,0
233,anesthetic,n.,麻醉剂，麻药,0,0,0
234,angular,adj.,有角的，尖角的,0,0,0
